Kind,ID,calories,carbohydrate,fat,protein,vitamine,vta,vtc,vte,carotene,thiamine,riboflavin,yansuan,cholesterol,mg,ca,iron,zinc,copper,mn,k,p,na,se
1,125,78.52,7,6.19,1.39,2.6,1.96,1.64,4.05,12.2,0.01,0.01,0.1,0,14,11.44,1.38,0.18,0.03,0.31,28.08,6.87,539.6,0.18
1,142,78.76,14.63,1.77,1.93,0.9,14.64,33.45,1.87,87.46,0.07,0.04,0.98,0,20.75,9.75,0.81,0.35,0.12,0.15,303.33,36.86,397.95,0.73
1,309,97.49,4.66,8.7,1.17,1.11,12.5,7.5,2.74,75,0.03,0.03,0.25,0,15.41,22.39,0.94,0.37,0.06,0.39,117.98,29.85,458.75,0.43
1,455,104.32,1.12,7.44,8.04,0.14,11.03,0.24,0.17,6.27,0.05,0.04,2.31,30.71,8.1,8.12,0.86,0.64,0.06,0.05,126.38,70.27,79.28,4.26
1,518,9.91,2.39,0.05,0.32,0.36,66.67,3.6,0.16,400.9,0.01,0.02,0.18,0,3.62,7.41,0.19,0.07,0.01,0.04,65.44,10.81,354.51,0.22
1,574,57.29,3.15,3.22,4.49,0.65,15.16,7.61,2.24,80.5,0.02,0.04,0.62,43.75,34.15,71.51,1.54,0.51,0.25,0.23,140.5,76.84,1199.66,6.65
1,637,90.86,8.36,5.49,4.41,2.46,36.67,16.18,6.64,218.17,0.07,0.1,1.7,0,46.97,122.68,4.78,0.85,0.21,0.51,142.87,112.13,234.14,1.22
1,670,177.45,5.12,14.63,6.89,0.52,13.84,0.97,1.42,50.83,0.12,0.1,1.49,24.79,7.06,17.65,0.76,0.68,0.03,0.04,69.79,88.29,274.25,3.75
1,888,148.5,7.64,12.76,2.68,1.95,34.84,14.07,12.51,207.86,0.05,0.07,1.09,0,26.79,23.77,0.71,0.46,0.11,0.41,105.79,53.74,589.24,0.69
1,937,160.83,3.99,9.4,15.19,0.05,41.42,0.36,4.58,1.51,0.05,0.81,3.11,103.73,19.6,39.3,2.61,1.71,0.06,1.89,230.57,178.2,215.58,28.57
1,1402,214.7,25.12,11.82,2.49,0.52,6.37,0.3,2.81,0.81,0.04,0.02,0.65,10.91,18.31,13.94,0.85,0.54,0.11,0.52,63.45,41.05,9.23,0.96
1,1606,151.64,4.84,8.53,13.86,0.12,38.75,0.41,1.24,6.88,0.06,0.72,2.96,96.05,26.02,38.26,2.55,1.56,0.05,1.71,227.19,169.92,589.42,24.93
1,1674,152.54,19.78,10.43,2.19,7.25,5.97,1.14,2.67,19.51,0.03,0.05,0.12,9.47,12.31,35.04,3.13,0.23,0.04,0.46,53.89,24.99,512.55,0.19
1,1758,133.84,38.93,6.27,16.87,36.53,0,0,2.36,0,0.02,1.15,0.33,0,29.82,24.05,67.3,4.97,7.87,1.46,135.34,77.13,1164.24,75.42
