kind,id,name,fei,xin,piwei,gandan,shen,sanjiao,qi,xue,yin,yang,xing,ku,gan,suan,xian,dan,sheng,jiang,chen,fu,hezhong
1,2499,肉末炒玉米,5.7,3.15,31.7,0.3,24.15,0,21,14.05,22.6,7.35,16.6,0.9,25.9,0,21.6,0,9.9,6.75,14.85,8.25,25.25
1,2500,荞麦面馄钝,5.19,9.15,13.98,9.35,15.93,0,19.3,11.8,16.89,5.61,8.85,1.35,26.48,0,16.92,0,5.63,2.7,13.86,7.02,24.39
1,2501,牛奶麦片粥,4.5,4.5,16,0,0,0,11.4,6.8,6.8,0,0.8,1.2,23,0,0,0,5.4,0,0,0,19.6
1,2502,鸡蓉小米羹,5.55,5.13,16.32,16.3,9,0,22.9,19.86,5.49,4.05,7.8,0.9,34.6,0,9,0,4.56,1.8,8.7,5.55,31.69
1,2503,芋头红薯粥,4,0,16,0,0,0,9,8,3,0,0,2,18,0,0,0,2,1.5,1.5,0,15
1,2504,红薯饭,2,0,33,0,0,0,17,16.5,1.5,0,0,6,29,0,0,0,6,0.75,0.75,0,27.5
1,2505,芹菜馅饺子,29.8,70.2,79.4,0.3,100.3,0,95.6,81.55,98.2,4.65,8.1,0.9,147.3,0,61.2,62.5,13,74.75,61,6,125.25
1,2506,芹菜土豆片,26.1,30,37.95,0.3,32.15,0,57.6,35.25,32.6,1.05,1.8,0,62.1,0,12.6,50,0.3,43.75,31.85,1.5,49.1
1,2507,菠菜牛肉羹,3.27,1.35,45.03,32.9,36.15,0,33.1,31.56,33.69,20.35,38.9,0.45,58.75,8,12.6,0,9.06,18.25,34.53,28.65,28.21
1,2508,菠菜炒绿豆芽,8.1,0,37.95,40.3,45.15,0,29.6,32.25,48.6,21.05,41.8,0,67.1,10,12.6,0,0.3,24.5,42.6,31.5,32.6
1,2509,油菜豆腐汤,17.1,0,19.95,4.8,12.15,0,18.1,3,31.85,1.05,9.3,0,28.1,0,12.6,4,3.3,6.62,14.73,7.5,21.85
1,2510,蒜香油菜,15.6,3.75,32.7,4.8,12.15,0,26.1,2.25,17.1,23.55,46.8,0,9.6,0,12.6,0,10.8,2.25,10.35,26.25,19.35
1,2511,茼蒿炒肉丝,13,1.08,17.52,8.4,27.3,0,19.55,8.61,34.79,4.35,19.4,0.45,22.25,0,25.2,0,6.56,6.75,18,14.65,21.34
1,2512,荠菜豆腐羹,13.1,0.18,14.07,4.8,12.15,0,15.25,3.06,24.94,1.05,9.3,0,20.4,0,12.6,2,3.36,4.62,12.73,7.5,16.09
1,2513,荠菜炒鸡片,1.5,0.45,7.1,8.3,12.15,0,10.1,7.25,9,3.15,6,0,10.9,0,12.6,0,1.2,1.8,10.35,3.3,12.85
1,2514,莼菜鱼片汤,13,0.9,163.05,8.4,12.15,0,123.5,47.55,22.1,4.35,19.4,0.45,165.05,0,12.6,0,81.5,2.25,10.35,14.65,88.75
1,2515,莼菜香菇汤,12.1,0,16.95,6.3,16.15,0,19.6,3.75,27.1,1.05,11.8,0,27.1,0,12.6,0,4.3,5,13.1,9.5,19.6
1,2516,番茄西蓝花,10.8,2.88,23.67,8.3,20.15,0,21.35,12.11,27.69,4.65,8.1,0.9,32.2,12,12.6,0,7.06,6.25,18.35,6,28.14
1,2517,香菇西蓝花,6.1,0,19.95,0.3,20.15,0,17.6,5.25,22.6,1.05,1.8,0,32.1,0,12.6,0,4.3,3.75,11.85,1.5,25.1
1,2518,凉拌紫甘蓝,4.95,1.5,34.8,3.6,24.15,0,26.7,4.05,28.65,9.6,15.3,0,36.6,4.5,12.6,0,9,2.25,13.95,7.95,35.85
1,2519,三丝紫甘蓝,19.1,7.5,72.1,8.3,20,0,53.7,9.25,18,46.05,80.8,0,32.2,1,13,0,19.3,5.25,9.2,42,51.25
1,2520,茭白烧黄豆,7.1,0.18,37.07,0.3,32.15,0,27.75,4.31,43.69,1.05,1.8,0,57.4,5,12.6,0,0.36,15.25,24.35,1.5,35.34
1,2521,茭白炒鸡蛋,12.9,10.8,39,0.3,25,0,35.8,17.55,30,4.65,8.1,0.9,70,0,9,0,3,10.25,20.6,6,48.15
1,2522,莴笋炒牛肉丝,2.5,2.25,108.25,2.5,43.5,0,76.8,21.55,53.4,7.25,12,1.5,124.5,0,21,0,33,13.8,29.7,8.5,74
1,2523,三丝拌莴笋,10,2.25,43.75,0,27,0,35.1,5.8,28,14.1,30.8,0,33.2,2,17,0,4.5,14.25,17.2,17.7,29.35
1,2524,芦笋煎蛋,9.6,8.1,28.8,0,21,0,27.6,15.3,24,0.6,0.3,0,58.2,0,9,0,0,8.25,18.6,0.45,40.2
1,2525,芝麻土豆丝,11.52,0.45,13.59,2.34,14.4,0,13.95,7.8,17.25,3.3,4.95,0,24.75,0,12.6,0,0.96,6,12.6,4.32,18.42
1,2526,胡萝卜烧羊肉,14,29.05,81.7,0.6,74.15,0,84.8,36.9,17.6,60.2,32.2,1.35,133.35,4,28.6,0,42.3,14.25,18.35,59.85,64.75
1,2527,牡蛎萝卜丝汤,12,0.45,29.25,0.3,34.5,0,31.5,17.25,24,3.75,24.3,0,11.7,4.5,36,0,1.2,20.25,20.7,17.25,17.1
1,2528,萝卜排骨煲,15.82,4.2,51.19,2.59,87,0,44.55,47.35,62.55,6.35,34.95,2.4,39.45,6,78,0,4.26,42.3,41.7,27.37,45.17
1,2529,番茄丝瓜,5.1,0,19.95,4.3,22.15,0,15.6,6.25,28.6,1.05,1.8,0,31.1,6,12.6,0,0.3,9.25,19.35,1.5,21.1
1,2530,番茄炒虾仁,14.87,0.45,17.43,20.3,27.15,0,21.7,20.26,27.19,11.05,1.8,0,44.55,15,17.6,1.25,7.86,17.25,23.03,1.5,30.56
1,2531,番茄茄子,13.6,0.18,13.57,2.3,12.15,0,12.75,10.31,17.69,1.05,1.8,0,24.4,3,12.6,0,0.36,9.25,18.35,1.5,12.34
1,2532,海米烧茄子,13,0.63,15.22,0.3,12.15,0,13.55,8.31,15.69,3.75,6.3,0,22.4,0,12.6,0,1.26,8.25,16.35,3.75,11.69
1,2533,洋葱炒鸡蛋,30.8,10.8,38.9,10,9,0,39.35,33.45,8.1,18.6,56.3,0.9,33.3,0,9,0,12.7,1.8,12.6,39.5,32.9
1,2534,洋葱炒牛肉,31.5,0.63,46.92,15.6,12.15,0,44.25,29.16,9.69,23.7,75.9,0.45,17.85,0,12.6,0,22.86,2.25,10.35,53.85,17.49
1,2535,老虎菜,17.55,7.5,63.9,3.9,18.15,0,41.85,3.15,19.95,46.05,76.8,0,17.1,4.5,12.6,0,15.3,5.25,16.95,39,34.5
1,2536,黄瓜木耳汤,7.65,5.73,18.47,0.3,18.15,0,18.5,10.06,20.69,1.05,1.8,0,35.9,0,12.6,0,1.36,5.25,16.05,1.5,26.14
1,2537,河蟹炖南瓜,9,0.45,21.75,0.3,45,0,10.5,24.75,37.5,3.75,6.3,0,28.2,6,36,0,1.2,18.75,23.7,3.75,29.1
1,2538,豆豉南瓜,8.1,0,15.45,0.3,15.15,0,11.1,8.25,18.6,1.05,1.8,0,14.1,6,17.1,0,0.3,6.75,16.35,1.5,14.1
1,2539,木耳肉片汤,3.12,0.9,6.24,0.39,24.15,0,4.95,8.85,19.95,1.05,1.95,0,11.25,0,21.6,0,0.96,6.75,14.85,1.62,10.62
1,2540,茄子烧肉片,32.3,10.2,73.55,0.3,24.15,0,47.2,17.55,26.1,49.65,83.1,0.9,34.9,0,21.6,0,18,14.25,22.35,43.5,42.4
1,2541,金针菇牛肉汤,3.12,15.45,50.19,20.39,12.15,0,36.55,51.25,9.75,3.75,21.45,15,52.25,0,12.6,0,16.26,12.25,25.35,18.87,28.57
1,2542,土豆牛肉汤,7.12,0.45,26.19,0.39,12.15,0,20.05,9.75,12.75,3.75,6.45,0,27.25,0,12.6,0,8.76,3.75,11.85,3.87,18.07
1,2543,三色鸡丝,13.1,15,20.45,8.3,13.15,0,32.8,21.2,14.95,1.05,1.8,0,39.6,0,3.6,25,0.3,20.82,13.52,1.5,33.85
1,2544,鸡丝凉粉,16.15,6.45,48.3,27.6,10,0,43.4,23.85,14.55,26.7,44.1,0.9,50,4.5,9,0,10.2,4.25,12.8,23.7,57.55
1,2545,鸡丝豌豆汤,11.5,0,23,32,9,0,32.1,21.8,21,0.6,0.3,0,63.7,0,9,2.5,0,7.25,12.2,0.45,55.6
1,2546,芙蓉鱼羹,4.5,5,22,0,10,0,20.8,14.3,5.4,1,0,0,32.5,0,9,0,8.25,1.8,10.2,0.75,20.5
1,2547,三色鱼丸,5.07,2.97,156.81,0.78,12.87,0,113.07,50.04,10.5,4.89,8.58,0.9,155.76,0.12,13.14,0,78,2.67,11.25,6.36,80.22
1,2549,甲鱼百合红枣汤,2.5,0,163.5,0,0,0,112.1,49.95,3.7,0.25,0,2.5,163.5,0,0,0,75,1.5,0.5,0,89
1,2550,桂圆炖甲鱼,5.4,0.45,157.35,0.3,9,0,111.9,49.05,7.8,3.75,6.3,0,154.8,2.4,9,0,76.2,3.45,8.4,3.75,80.7
1,2552,红椒墨鱼丝,16.5,7.95,101.25,0.3,9,0,65.7,15.75,5.4,48.15,81,0,45,0,9,0,38.7,1.8,7.2,40.8,46.5
1,2553,芹菜拌墨鱼,12.4,15.45,64.5,0,22.15,0,61.3,30.3,19.6,3.3,4.8,0,72.1,0,12.6,25,23.4,22.25,20.35,2.7,45.8
1,2554,清蒸三文鱼,3,0.45,78.75,0.3,9,0,57,24.75,6,3.75,6.3,0,76.2,0,9,0,38.7,2.25,7.2,3.75,39.6
1,2555,三文鱼蒸蛋,4.29,4.05,22.02,0.09,3.15,0,18.42,11.34,3.84,0,0.15,0,29.85,0,3.6,0,7.56,0.05,5.9,0.12,19.98
1,2556,木耳酸辣汤,15.7,8.88,24.67,11.9,12.15,0,28.15,17.76,20.04,7.35,12.6,0.9,40.7,4.5,12.6,2,4.96,4.25,18.65,8.25,37.19
1,2557,鸡蛋木耳炒肉,15.6,15,32,0.9,45,0,26.3,38.05,40.4,3.75,6.6,0.45,65.45,0,36,0,5.5,15.3,26.1,4.2,57.4
1,2558,双菇菠菜,4.1,15,48.6,60.3,39,0,34.7,73.75,37.5,21.05,56.8,15,76.2,10,9,0,0.3,33,52.95,46.5,34.25
1,2559,香菇炒大白菜,20.2,3.33,24.82,0.3,17.15,0,23.25,7.11,27.89,7.55,12.7,0.9,39.6,0,12.6,0,3.96,7.65,15.6,8.4,30.19
1,2560,蒜蓉金针菇,9.9,79.2,104.4,100,9,0,68.9,201.8,6,25.8,117.3,75,101.2,0,9,0,8.4,52.25,82.2,96.45,63.2
1,2561,金针菇炒鸡蛋,7.05,19.5,24.15,20.3,9,0,21.25,49,6,3.75,21.3,15,34.7,0,9,0,1.2,12.25,24.9,18.75,22.9
1,2562,草菇炖豆腐,20.1,0.18,27.72,0.3,9,0,18.85,9.81,27.59,1.05,1.8,0,42.5,0,9,4,0.36,10,14.95,1.5,30.49
1,2563,鸡肉草菇水饺,50.5,54.45,74.75,8.3,9,0,79.1,41.75,12.2,63.95,111.4,15,61.6,0,9,0,49.2,3.15,7.95,78.9,57.8
