Kind,ID,calories,carbohydrate,fat,protein,vitamine,vta,vtc,vte,carotene,thiamine,riboflavin,yansuan,cholesterol,mg,ca,iron,zinc,copper,mn,k,p,na,se
0,45,583.99,38.53,46.06,3.9,1.95,8.05,0.2,4.97,2.72,0.09,0.05,6.13,0,33.6,13.91,1.31,1.39,0.27,0.28,601.08,86.34,362.18,0.45
0,66,478.01,5.01,47.07,7.5,0.05,8.6,0.19,0.24,1.41,0.07,0.05,1.97,83.39,29.35,15.22,1.65,1.34,0.05,0.17,194.53,92.59,620.74,2.9
0,299,535.33,3.73,54.44,8.12,0.47,41.87,0.76,6.11,18.95,0.14,0.11,1.92,70.95,19.87,36.28,2.16,1.4,0.12,0.64,123.29,99.3,438.9,8.9
0,348,462.12,33.4,35.15,3.15,0.1,0,0,8.48,0,0.05,0.03,0.36,22.5,1.45,7.75,0.8,0.12,0.03,0.04,5.23,17.79,1.86,0.12
0,352,515.18,46.91,31.25,13.45,0.99,0,0,0,0,0,0,0,0,0.33,1.29,0.05,0,0,0.01,1.62,0.66,0.82,0.07
0,370,391.28,3.52,38.19,8.67,0.31,89.17,10.97,5.48,126.48,0.01,0.01,0.09,87.23,26.84,19.98,5.53,2.52,0.07,0.07,318.78,184.92,561.77,16.88
0,378,271.2,39.91,19.82,12.52,29.22,0,0,13.51,0,0.37,0.13,0.99,0,115.54,17.67,5.37,5.98,0.52,8.43,822.86,224.53,2613.37,0.47
0,470,445.82,11.93,42.38,6.49,2.41,11.66,0.39,11.32,1.36,0.13,0.09,2.11,46.58,43.49,113.67,3.69,1.31,0.3,1.48,105.2,116.3,146.7,4.66
0,478,550.39,23.69,49.22,3.18,0.05,39.56,0.19,3.41,2.12,0.05,0.06,0.58,50.18,4.62,14.45,1.63,0.61,0.07,0.37,67.61,34.93,265.44,5.41
0,488,460.04,14.57,41.99,6.78,0.8,7.99,1.93,0.58,3.07,0.07,0.05,1.78,74.45,23.83,16.71,1.43,1.21,0.07,0.14,224.13,79.93,336.27,2.63
0,570,518.23,1.57,53.17,8.5,0.09,11.17,0.24,3.2,16.72,0.08,0.05,2.13,91.6,22.94,13.32,1.64,1.47,0.06,0.1,206.51,96.82,513.57,3.52
0,576,512.62,27.75,42.6,12.36,7.79,37.48,0,17.56,18.38,0.02,0.11,2.41,0,118.85,114.61,4.86,3.64,0.82,4.55,439.74,161.06,235.06,2.71
0,608,362.48,10.98,30.05,14.32,2.28,66.13,0.24,15.86,49.28,0.25,0.12,2.16,29.14,43.71,30,2.77,1.86,0.38,0.9,235.53,164.18,160.56,7.11
0,629,540.08,4.29,54.98,7.45,0.38,8.48,0.52,9.85,5.79,0.07,0.04,1.91,81.95,21.15,12.29,1.43,1.4,0.07,0.23,186.9,82.74,302.34,2.89
0,641,422.69,7,41.43,6.3,0.82,14.67,0.49,7.41,31.15,0.08,0.12,1.31,38.81,13.94,12.66,2.2,0.83,0.08,0.16,111.93,62.95,327.49,5.78
0,713,434.3,4.24,43.25,7.05,0.01,7.33,0,0.04,0,0.07,0.03,1.85,79.89,17.54,7.46,1.2,1.26,0.04,0.14,178.12,79.49,246.67,2.82
0,734,341.92,24.22,25.43,5.45,1.4,5.09,9.61,12.64,13.89,0.05,0.05,0.7,1.74,28.41,29.76,1.38,0.6,0.24,0.56,186.44,71.39,435.03,1.41
0,736,502,60.66,27.75,6.5,4.13,2.76,0.43,18.9,13.04,0.08,0.08,0.62,2.02,58.26,33.04,1.43,0.97,0.53,1.53,169.57,131.3,2.96,2.01
0,751,325.51,15.55,25,12.6,3.02,28.75,6.07,18.67,173.18,0.12,0.11,1.25,0,53.98,102.48,3.92,1.63,0.55,1.01,688.09,169.48,356.65,1.26
0,756,366.21,65.72,7.21,16.04,6.46,15.42,0.5,7.88,91.67,0.17,0.09,0.89,0,84.19,86.5,3.77,1.47,0.58,0.98,632.48,196.75,1.09,2.59
0,790,563.64,24.23,49.7,12.63,7.74,4.5,0.8,35.63,27,0.12,0.13,0.92,0,107.67,49.76,2.63,1.89,0.96,2.84,327.38,243.6,640.68,4.29
0,818,525.05,2.12,53.81,8.3,0.2,14.01,0.99,3.44,37.58,0.08,0.05,2.07,84.63,21.57,11.27,1.81,1.41,0.08,0.14,211.76,87.59,454.88,3.48
0,855,377.81,5.02,29.7,22.56,0.06,2.05,0.33,4.22,12.42,0,0.01,0.07,0,5.17,5.49,0.32,0.08,0.02,0.06,23.43,11.08,851.56,0.21
0,975,462.71,7.95,45.6,9.48,4.33,31.9,0.15,0.04,145.22,0.07,0.1,2,83.98,57.75,244.65,7.02,1.54,0.11,1.6,317.54,93.49,810.76,3.24
0,1016,550.24,0.43,56.97,9.04,0.05,11.53,0.27,0.05,11.27,0.09,0.04,2.33,105.21,17.47,7.1,1.04,1.57,0.05,0.05,211.25,93.82,532.81,3.63
0,1020,524.89,5.67,52.11,8.36,0.02,8.85,0,0.04,0.11,0.08,0.04,2.16,96.26,18.89,8.4,1.15,1.46,0.05,0.06,197.33,90.01,1239.22,3.34
0,1027,476.6,12.7,42.38,11.2,0.1,84.13,0,5.56,6.08,0.01,0.01,0.3,106.49,36.86,22.93,6.73,3.22,0.1,0.25,378.81,230.34,736.78,20.72
0,1233,530.78,2.29,54.45,8.12,0.36,10.51,0.28,2.5,13.4,0.08,0.05,2.15,90.23,17.29,11.43,1.38,1.48,0.07,0.2,199.99,87.32,403.99,3.47
0,1305,393.47,44.43,24,12.33,12.34,31.58,1.86,15.98,22.35,0.12,0.45,6.53,0,86.4,51.77,7.98,3.4,0.73,2.74,288.65,185.25,235.52,5.53
0,1341,536.98,0.92,55.63,8.07,0.18,15.58,0.95,2.69,43.71,0.08,0.04,2.11,90.46,22.66,12.36,1.49,1.45,0.06,0.14,201.23,91.2,551.84,3.19
0,1369,533.31,5.17,53.67,7.68,0.24,12.02,0.33,0.4,13.57,0.08,0.04,2.01,93.03,19.41,9.96,1.33,1.36,0.05,0.2,195.87,86.32,485.53,3.1
0,1382,328.66,19.99,23.48,11.4,2.11,6.42,2.18,13.56,5.56,0.19,0.1,1.68,10.07,71.19,31.4,1.56,0.99,0.41,1.47,187.49,100.86,229.85,2.46
0,1445,709.51,12.85,76.02,3.66,10.17,0,0,46.69,0,0.13,0.04,0.29,0,34.2,10.05,4.2,2.4,0.28,2.94,266.44,79.27,964.9,0.02
