Kind,ID,calories,carbohydrate,fat,protein,vitamine,vta,vtc,vte,carotene,thiamine,riboflavin,yansuan,cholesterol,mg,ca,iron,zinc,copper,mn,k,p,na,se
1,11,138.55,9.4,3.15,18.09,0.02,61.4,0.13,0.42,5.47,0.04,0.06,0.02,406.69,2.5,24.07,0.6,0.4,0.1,0.03,76.24,11.33,650.47,3.58
1,2499,126.12,12.69,4.93,7.89,1.67,14.18,0.38,0.15,6.61,0.16,0.04,1.63,24.11,10.58,14.59,1.1,0.94,0.06,0.14,102.51,58.61,720.29,2.9
1,2500,234.31,40.59,10.56,11.16,0.45,7.67,1.12,0.61,44.17,0.01,0.04,1.42,40.74,15.87,25.15,2.39,0.44,0.13,0.12,84.95,43.74,769.01,5.03
1,2501,129.1,20.1,3.2,5.66,0.62,18,0.75,0.57,0,0.05,0.13,0.58,11.25,27.75,97.8,1.69,0.68,0.14,0.62,110.5,99.75,31.5,2.58
1,2502,186.61,24.53,3.56,14.53,0.49,13.42,0.27,1.09,28.66,0.13,0.14,6.26,43.85,48.07,14.91,2.14,0.81,0.19,0.27,279.47,181.84,661.07,7.97
1,2503,174.67,38.4,0.43,5.33,1.07,50.67,10.67,0.48,303.33,0.03,0.06,1.3,0,15.67,22.33,2.2,0.44,0.36,0.72,185.67,66.67,27.7,2.18
1,2504,284.25,60.48,0.72,9.8,0.85,31.25,6.5,0.6,187.5,0.01,0.07,2.1,0,12,11.75,3.95,0.55,0.44,1.34,69.25,89.25,23.25,3.57
1,2505,283.72,37.47,10.55,10.19,0.31,19.99,1.28,0.17,93.91,0.06,0.09,1.12,19.65,8.71,13.03,2.14,0.61,0.04,0.22,104.22,48.56,157.6,3.15
1,2506,41.82,6.82,1.18,1.66,0.82,42.08,12.02,0.32,244.17,0.03,0.14,1,0,17.83,27.41,4.7,0.37,0.1,0.56,247.03,33.7,405.12,0.79
1,2507,53.6,5.01,1.78,5.88,1.29,356.99,23.59,1.34,2133.91,0.04,0.11,1.62,10.58,47.11,50.97,2.72,1.31,0.11,0.53,285.32,66.85,503.54,2.74
1,2508,29,4.07,0.97,2.43,1.34,296.67,21.73,1.13,1779.56,0.04,0.09,0.55,0,41.9,43.7,1.99,0.65,0.1,0.44,214.62,42.27,339.58,0.78
1,2509,53.21,4.31,2.65,4.08,1.02,53.94,19.08,1.41,324.67,0.04,0.08,0.61,0,22.08,114.3,1.33,0.62,0.14,0.31,156.7,66.86,442.76,1.46
1,2510,52.65,7.36,2.08,2.24,1.06,83.45,30.09,0.85,502.3,0.04,0.1,0.65,0,20.79,92.66,1.15,0.39,0.08,0.23,211.36,47.53,678.11,1.07
1,2511,91.35,4.72,6.9,3.7,0.97,197.57,14.08,0.77,1167.25,0.07,0.1,1.04,12.35,20,58.75,2.32,0.61,0.06,0.27,208.62,55.48,551.16,2.35
1,2512,53.57,5.82,2.34,3.9,1.52,270.12,27.19,1.2,1619.5,0.03,0.11,0.64,0,30.23,218.99,3.87,0.73,0.25,0.54,205.2,81.72,512.92,1.1
1,2513,123.66,4.11,4.09,17.73,0.19,14.74,1.02,0.19,11.13,0.06,0.11,8.79,66.13,26.06,11.03,0.69,0.47,0.07,0.22,294.69,175.82,2325.68,8.62
1,2514,84.63,1.43,3.82,11.32,0.18,25.21,0.08,1.62,108.32,0.03,0.08,1.86,55.99,21.41,38.72,1.31,0.79,0.05,0.13,205.55,137.94,186.16,4.56
1,2515,30.02,4.16,1.11,2.07,1.15,35.35,1.12,0.59,212.12,0.01,0.03,0.49,0,4.12,30.14,1.69,0.6,0.06,0.4,68.38,30.05,461.85,0.87
1,2516,38.22,5.67,1.37,2.05,1.11,436.16,28.15,0.67,2615.09,0.05,0.06,0.69,0,12.31,34.04,0.7,0.35,0.06,0.16,111.35,38.35,380.47,0.36
1,2517,40.87,4.95,1.85,3.56,2.33,567.12,24.77,0.43,3401.79,0.04,0.1,1.38,0,13.6,34.68,0.65,0.69,0.08,0.25,19.75,59.56,681.36,1.58
1,2518,49.54,9.23,1.95,1.51,2.65,0.29,0.4,0.06,1.71,0,0,0.06,0,1.49,3,0.19,0.08,0.02,0.07,23.55,8.38,679.55,0.24
1,2519,54.68,5.21,2.28,4.61,1.66,147.03,16.61,0.24,0.69,0.03,0.04,2.38,15.83,10.67,10.05,0.48,0.19,0.05,0.08,131.17,50.83,476.46,2.24
1,2520,125.84,14.43,5.37,10.52,5.57,13.64,3.56,5.86,81.32,0.13,0.08,0.93,0,60.22,55.64,2.57,1.15,0.41,0.96,556.3,152.57,327.77,2.02
1,2521,69.52,5.47,3.84,4.84,1.56,73.37,3.48,1.23,21.85,0.05,0.11,0.41,0,9.59,26.19,0.96,0.57,0.1,0.38,187.9,63.65,434.05,4.61
1,2522,50.32,2.54,0.93,8.31,0.36,16.46,2.48,0.25,85.27,0.04,0.06,2.69,21.76,21.89,18.32,1.74,1.61,0.1,0.15,236.48,96.84,370.16,4.33
1,2523,32.62,4.71,1.25,1,0.85,270.87,10.44,0.31,101.85,0.03,0.02,0.53,0,16.54,25.61,0.92,0.28,0.08,0.2,199.18,38.36,481.85,0.58
1,2524,74.72,4.01,4.5,5.72,1.16,95.98,27.44,0.67,60.98,0.06,0.13,0.5,0,9.78,26.85,1.6,0.66,0.1,0.12,186.39,73.17,529.4,5.39
1,2525,128.42,16.86,5.73,3.54,1.8,7.47,23.42,4.51,19.83,0.12,0.06,1.45,0,44.27,74.37,2.64,0.85,0.26,1.62,324.63,79.1,659.26,1.12
1,2526,132.57,4.46,8.32,10.53,0.94,300.18,5.48,0.39,1.07,0.05,0.09,2.63,48.22,18.45,18.22,1.73,1.85,0.44,0.21,212.44,91.22,356.51,17.24
1,2527,45.79,5.71,1.99,1.93,0.76,9.03,15.16,0.85,17.41,0.02,0.05,0.56,23.58,27.57,57.47,2.07,2.44,1.95,0.32,175.99,46.41,709.28,20.9
1,2528,150.89,3.6,10.82,10.13,0.46,8.99,9.34,0.45,16.79,0.43,0.09,2.95,87.03,16.95,20.51,0.72,1.05,0.09,0.08,221.81,78.7,298.74,5.75
1,2529,28.63,4.28,1.03,1.29,0.56,35.86,8.84,0.31,214.59,0.02,0.04,0.45,0,10.31,13.68,0.41,0.19,0.06,0.07,125.79,26.73,396.62,0.66
1,2530,56.67,8.07,1.23,3.87,1.14,70.2,14,1.04,401.4,0.06,0.04,0.63,0,15.53,15.04,0.71,0.27,0.08,0.15,181.4,36.35,348.97,0.31
1,2531,35.59,5.86,1.36,1.15,1.1,23.51,7.55,0.96,142.19,0.02,0.04,0.58,0,11.82,20.78,0.52,0.21,0.09,0.12,139.8,22.41,450.17,0.42
