mean: 0.89810, std: 0.09133, params: {'n_estimators': 80}
mean: 0.89817, std: 0.09253, params: {'n_estimators': 81}
mean: 0.89881, std: 0.09170, params: {'n_estimators': 82}
mean: 0.89770, std: 0.09285, params: {'n_estimators': 83}
mean: 0.89833, std: 0.09352, params: {'n_estimators': 84}
mean: 0.89603, std: 0.09327, params: {'n_estimators': 85}
mean: 0.89698, std: 0.09116, params: {'n_estimators': 86}
mean: 0.89698, std: 0.09178, params: {'n_estimators': 87}
mean: 0.89579, std: 0.09253, params: {'n_estimators': 88}
mean: 0.89706, std: 0.09176, params: {'n_estimators': 89}
mean: 0.89825, std: 0.09190, params: {'n_estimators': 90}
mean: 0.89635, std: 0.09444, params: {'n_estimators': 91}
mean: 0.89627, std: 0.09482, params: {'n_estimators': 92}
mean: 0.89508, std: 0.09565, params: {'n_estimators': 93}
mean: 0.89500, std: 0.09660, params: {'n_estimators': 94}
mean: 0.89444, std: 0.09707, params: {'n_estimators': 95}
mean: 0.89381, std: 0.09796, params: {'n_estimators': 96}
mean: 0.89444, std: 0.09707, params: {'n_estimators': 97}
mean: 0.89381, std: 0.09640, params: {'n_estimators': 98}
mean: 0.89563, std: 0.09625, params: {'n_estimators': 99}
mean: 0.89444, std: 0.09707, params: {'n_estimators': 100}
mean: 0.89206, std: 0.09826, params: {'n_estimators': 101}
mean: 0.89325, std: 0.09689, params: {'n_estimators': 102}
mean: 0.89325, std: 0.09689, params: {'n_estimators': 103}
mean: 0.89270, std: 0.09682, params: {'n_estimators': 104}
mean: 0.89270, std: 0.09629, params: {'n_estimators': 105}
mean: 0.89270, std: 0.09629, params: {'n_estimators': 106}
mean: 0.89333, std: 0.09697, params: {'n_estimators': 107}
mean: 0.89500, std: 0.09608, params: {'n_estimators': 108}
mean: 0.89556, std: 0.09564, params: {'n_estimators': 109}
